分账票价,排片占比,黄金场占比,场次,排座占比,座位数,holiday,weekday,time
40.3,11.4,18.3,45000.0,9.3,4370000.0,0,1,1.0
40.0,13.7,19.4,51000.0,11.6,5316000.0,1,0,0.7071067811865476
40.2,16.7,20.6,62000.0,15.1,6825000.0,1,0,0.5773502691896257
39.8,20.5,22.2,74000.0,20.2,8890000.0,0,1,0.5
39.1,23.1,23.1,82000.0,24.6,10624000.0,0,1,0.4472135954999579
38.6,25.5,23.6,89000.0,28.4,12030000.0,0,1,0.408248290463863
37.3,27.3,24.6,91000.0,31.6,12856000.0,0,1,0.3779644730092272
36.8,28.8,25.3,94000.0,34.2,13596000.0,0,1,0.3535533905932738
36.9,30.1,25.5,97000.0,36.5,14332000.0,1,0,0.3333333333333333
37.0,31.2,25.8,100000.0,38.1,14880000.0,1,0,0.31622776601683794
36.2,32.7,26.2,101000.0,40.1,15066000.0,0,1,0.30151134457776363
36.1,33.5,26.5,102000.0,41.2,15267000.0,0,1,0.28867513459481287
35.9,34.0,26.8,103000.0,41.9,15361000.0,0,1,0.2773500981126146
35.7,34.1,27.0,102000.0,42.1,15350000.0,0,1,0.2672612419124244
35.8,24.4,27.5,80000.0,32.5,12593000.0,0,1,0.2581988897471611
35.9,26.7,26.8,86000.0,35.2,13612000.0,1,0,0.25
35.9,27.5,27.0,87000.0,36.2,13807000.0,1,0,0.24253562503633297
35.1,28.7,27.7,84000.0,36.9,13018000.0,0,1,0.23570226039551584
35.2,28.9,27.8,83000.0,36.9,12859000.0,0,1,0.22941573387056177
35.2,28.9,27.8,83000.0,36.8,12700000.0,0,1,0.22360679774997896
34.8,28.5,27.6,83000.0,35.7,12608000.0,0,1,0.21821789023599236
34.2,18.1,26.6,53000.0,17.6,6261000.0,0,1,0.21320071635561044
34.3,17.9,26.4,54000.0,17.2,6347000.0,1,0,0.20851441405707477
34.4,18.0,26.7,54000.0,17.4,6343000.0,1,0,0.2041241452319315
34.1,19.2,27.4,53000.0,18.6,6267000.0,0,1,0.2
34.0,19.7,27.6,54000.0,19.4,6468000.0,0,1,0.19611613513818404
34.1,20.0,27.5,54000.0,20.0,6622000.0,0,1,0.19245008972987526
34.2,20.0,27.7,55000.0,20.1,6753000.0,0,1,0.1889822365046136
34.0,10.9,26.2,32000.0,10.0,3633000.0,0,1,0.18569533817705186
34.1,11.1,26.0,34000.0,9.9,3734000.0,1,0,0.18257418583505536
34.1,11.7,26.7,35000.0,10.5,3923000.0,1,0,0.1796053020267749
31.3,12.8,27.7,35000.0,11.6,3973000.0,0,1,0.1767766952966369
30.8,13.3,27.6,37000.0,12.2,4159000.0,0,1,0.17407765595569785
30.6,13.7,27.9,37000.0,12.7,4293000.0,0,1,0.17149858514250885
30.6,13.7,28.0,38000.0,12.6,4361000.0,0,1,0.1690308509457033
30.4,8.1,24.9,24000.0,6.4,2438000.0,0,1,0.16666666666666666
30.2,7.8,26.2,25000.0,6.2,2481000.0,1,0,0.1643989873053573
30.2,8.3,26.6,26000.0,6.6,2595000.0,1,0,0.16222142113076254
29.8,9.5,27.1,27000.0,7.6,2725000.0,0,1,0.16012815380508713
30.4,9.9,27.4,28000.0,8.2,2870000.0,0,1,0.15811388300841897
30.0,10.2,27.4,28000.0,8.5,2963000.0,0,1,0.15617376188860607
30.0,9.0,26.6,26000.0,7.6,2733000.0,0,1,0.1543033499620919
29.6,3.0,23.2,9360.0,2.3,877000.0,0,1,0.15249857033260467
29.5,3.5,23.4,10000.0,2.7,1032000.0,1,0,0.15075567228888181
29.6,3.7,24.2,11000.0,2.9,1091000.0,1,0,0.14907119849998599
29.1,4.7,25.1,13000.0,3.7,1270000.0,0,1,0.14744195615489714
29.2,5.0,25.2,13000.0,4.0,1346000.0,0,1,0.14586499149789456
28.3,2.2,23.1,6482.0,1.6,582000.0,0,1,0.14433756729740643
28.3,2.2,25.9,6741.0,1.6,620000.0,0,1,0.14285714285714285
28.7,2.8,26.5,8604.0,2.1,803000.0,0,1,0.1414213562373095
28.9,3.0,26.7,9228.0,2.4,875000.0,1,0,0.14002800840280097
29.5,3.4,26.2,9489.0,2.6,903000.0,1,0,0.1386750490563073
29.2,3.6,26.4,9974.0,2.8,942000.0,0,1,0.13736056394868904
29.5,3.9,26.3,10000.0,3.1,1010000.0,0,1,0.13608276348795434
28.9,4.1,27.0,11000.0,3.2,1061000.0,0,1,0.13483997249264842
29.1,4.2,26.8,11000.0,3.3,1094000.0,0,1,0.1336306209562122
28.1,0.8,21.0,2779.0,0.6,234000.0,0,1,0.13245323570650439
28.1,1.1,24.2,3702.0,0.8,322000.0,1,0,0.13130643285972254
28.3,1.3,26.8,4326.0,0.9,377000.0,1,0,0.13018891098082386
27.9,1.4,25.3,4144.0,1.0,375000.0,0,1,0.12909944487358055
28.1,1.6,24.3,4617.0,1.2,425000.0,0,1,0.12803687993289598
